                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.1307,                  1.849,                0.99125,                 1.1787,                0.58136,                0.35455,                0.36776,                0.18328,                0.53552,                0.32727,                0.32074,                0.17319,                 1.7192,                 3.1362,                  2.244,                 1.6217,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.1354,                 1.7882,                0.97069,                   1.18,                0.58438,                0.34545,                 0.3549,                0.17225,                  0.569,                0.33636,                0.31307,                0.17215,                 1.7516,                 3.2104,                 2.2352,                 1.6414,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.1568,                 1.8697,                0.98246,                 1.1905,                 0.6137,                0.38182,                0.39954,                0.19602,                0.53074,                0.33636,                0.34701,                 0.1765,                 1.7579,                 3.1154,                 2.0929,                 1.6638,               0.001571,               0.001571,               0.001571
                     68,                 1.1538,                 1.8099,                0.97307,                 1.2037,                0.69942,                0.30909,                0.41744,                0.20668,                0.76188,                0.27273,                0.36788,                 0.1894,                 1.7427,                 3.3607,                 2.0031,                 1.6798,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.1439,                 1.7777,                0.96275,                 1.1819,                0.46991,                0.41818,                0.42328,                0.21661,                0.42933,                0.38182,                0.35642,                0.18381,                 1.7224,                 3.2275,                 1.9184,                 1.6324,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.0868,                 1.8023,                0.93986,                  1.177,                0.51409,                0.32702,                0.31078,                0.17073,                0.48361,                0.31818,                 0.2529,                0.12376,                 1.7571,                  3.382,                 2.2286,                 1.7622,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.0379,                 1.6187,                0.90437,                 1.1486,                0.48127,                0.35455,                0.33488,                0.19357,                0.44447,                0.31818,                 0.2977,                0.16146,                  1.668,                  3.297,                 1.9844,                  1.655,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.1328,                 1.7844,                0.95298,                 1.2001,                0.50301,                    0.4,                0.37273,                0.18352,                0.43267,                0.34545,                0.31297,                0.16108,                 1.7939,                 3.4078,                 1.9983,                 1.7127,               0.001538,               0.001538,               0.001538
                     73,                 1.1021,                 1.7821,                0.94785,                 1.1826,                0.55685,                0.34545,                0.37398,                0.18675,                0.52644,                0.32727,                0.32258,                0.14998,                 1.7353,                 3.4413,                 2.0124,                 1.6814,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.0854,                 1.7631,                0.94312,                 1.1924,                0.42078,                0.34343,                0.32273,                0.16486,                0.49923,                0.27273,                0.29628,                0.13852,                 1.7951,                 3.4309,                 2.2287,                 1.7171,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.0866,                 1.7074,                0.93293,                 1.1518,                0.61675,                0.31818,                0.36192,                0.19841,                0.57322,                0.28182,                0.31618,                0.16736,                 1.7521,                 3.8976,                  2.166,                 1.6927,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.0709,                 1.7392,                0.90279,                  1.176,                0.46614,                    0.4,                0.37745,                0.20975,                0.48292,                0.37273,                0.35637,                0.18629,                 1.7699,                 3.5294,                 2.1235,                 1.6889,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.0077,                 1.6042,                0.82202,                 1.1196,                0.42535,                0.46364,                0.42322,                0.23034,                0.67195,                0.30909,                0.38588,                 0.2141,                 1.6705,                 2.9731,                 1.8335,                 1.5448,               0.001505,               0.001505,               0.001505
                     78,                 1.0743,                 1.7443,                0.88984,                  1.151,                0.62433,                    0.4,                0.43331,                0.23002,                0.58363,                0.37273,                0.40257,                 0.1893,                 1.6646,                 3.0603,                 1.7397,                 1.5853,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.0472,                 1.7961,                0.87616,                 1.1553,                0.75103,                0.38182,                0.47986,                0.25117,                0.64367,                0.39415,                0.43515,                0.20294,                 1.6308,                 3.0635,                 1.6838,                 1.5905,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.1242,                 1.7321,                0.94106,                 1.1885,                0.62358,                0.46364,                0.49085,                 0.2649,                0.55029,                    0.4,                0.38734,                 0.1945,                 1.6181,                 3.2804,                 1.7757,                 1.5195,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.0479,                  1.628,                0.89692,                 1.1399,                0.66974,                0.46364,                0.44778,                0.24495,                0.58639,                0.40909,                0.37609,                0.19605,                 1.6774,                 3.4236,                 1.7643,                 1.6078,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.0365,                 1.6904,                0.86485,                 1.1502,                0.49117,                0.45455,                0.40649,                0.19845,                0.48013,                0.40909,                0.34726,                 0.1607,                 1.7406,                 3.5643,                  1.949,                 1.6579,               0.001472,               0.001472,               0.001472
                     83,                 1.0305,                 1.6548,                0.86076,                 1.1614,                0.53273,                0.41818,                 0.4104,                0.20616,                0.46216,                0.36364,                 0.3423,                0.16436,                 1.7673,                 3.5517,                 1.9064,                 1.7236,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.0771,                 1.7112,                0.90053,                 1.1695,                0.55267,                0.35944,                0.38428,                 0.1815,                0.58903,                0.27273,                0.32675,                0.15832,                 1.8162,                 3.3123,                 2.1524,                 1.7301,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.0358,                 1.7277,                 0.8498,                 1.1353,                0.72065,                0.32727,                0.36761,                0.18631,                0.63774,                0.29091,                0.30959,                0.15874,                 1.7975,                 3.3903,                 2.4185,                 1.7578,              0.0014522,              0.0014522,              0.0014522
                     86,                0.99838,                 1.6365,                0.86237,                 1.1178,                0.60364,                0.29075,                0.28441,                0.15981,                0.55211,                0.27273,                0.24861,                 0.1329,                 1.8053,                 3.3317,                 2.6781,                  1.814,              0.0014456,              0.0014456,              0.0014456
                     87,                0.97676,                 1.6515,                0.82495,                  1.135,                0.61134,                0.29091,                0.32854,                0.17541,                0.57313,                0.27273,                0.30001,                0.15274,                 1.8145,                 3.3257,                 2.3689,                 1.8066,               0.001439,               0.001439,               0.001439
                     88,                 1.0004,                 1.6761,                0.85209,                 1.1364,                0.66397,                0.31818,                0.39936,                0.21106,                0.69773,                0.27273,                  0.356,                  0.175,                  1.812,                 3.3297,                  2.061,                 1.7646,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.0225,                 1.6854,                0.85234,                 1.1268,                0.47075,                    0.4,                0.36533,                 0.2025,                0.44014,                0.35022,                0.32083,                0.15041,                 1.7086,                 3.3283,                 2.0999,                 1.6528,              0.0014258,              0.0014258,              0.0014258
                     90,                0.98984,                  1.585,                0.82348,                 1.1299,                0.58975,                0.39091,                0.39144,                0.22348,                0.56396,                0.40909,                0.36845,                0.18899,                 1.7027,                 3.3548,                 1.9417,                 1.5695,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.0324,                 1.6143,                0.84778,                 1.1488,                0.54357,                0.43636,                0.40666,                0.22002,                0.59726,                0.37752,                0.38387,                0.20386,                 1.7151,                 3.3488,                 1.8736,                 1.6444,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.0213,                 1.5301,                0.80835,                 1.1285,                0.47944,                0.38182,                0.34871,                0.19443,                0.60206,                0.29091,                0.31432,                0.16335,                 1.6925,                 3.4942,                 1.9261,                 1.6158,               0.001406,               0.001406,               0.001406
                     93,                0.95045,                 1.6547,                0.81849,                 1.0979,                0.55704,                0.36364,                0.41441,                0.19756,                0.48204,                0.38182,                 0.3641,                0.17198,                 1.8275,                 3.3924,                  1.867,                 1.7103,              0.0013994,              0.0013994,              0.0013994
                     94,                0.95827,                 1.5762,                0.81315,                 1.0803,                0.55524,                0.38182,                0.37457,                0.19023,                0.51405,                0.35455,                0.35743,                0.17417,                 1.7853,                 3.3319,                 1.9849,                 1.6845,              0.0013928,              0.0013928,              0.0013928
                     95,                0.95269,                 1.6767,                0.81261,                 1.1068,                0.57148,                0.32735,                0.36345,                0.19591,                0.61672,                0.32727,                0.34529,                0.18126,                 1.6734,                  3.438,                 2.0602,                 1.6143,              0.0013862,              0.0013862,              0.0013862
                     96,                0.94598,                 1.6208,                0.78858,                 1.0726,                0.53453,                    0.4,                0.37564,                0.19288,                0.56235,                0.31818,                0.33446,                0.17723,                 1.7111,                 3.2826,                 2.1098,                 1.6714,              0.0013796,              0.0013796,              0.0013796
                     97,                0.90181,                 1.4642,                0.70521,                 1.0582,                 0.5619,                0.39091,                0.37622,                0.20488,                0.53633,                0.36364,                0.33884,                0.18782,                   1.71,                 3.3184,                 2.0919,                 1.6629,               0.001373,               0.001373,               0.001373
                     98,                0.91146,                 1.5041,                0.73159,                 1.0719,                0.58913,                0.39091,                0.40591,                0.22052,                0.58913,                0.39091,                0.38408,                0.19329,                  1.755,                 3.3786,                 1.9957,                 1.6797,              0.0013664,              0.0013664,              0.0013664
                     99,                0.93087,                 1.5121,                0.73342,                 1.0863,                0.61771,                0.41818,                0.42767,                0.23055,                0.57611,                0.39091,                0.38986,                0.19144,                 1.7873,                 3.3744,                 1.9549,                 1.7307,              0.0013598,              0.0013598,              0.0013598
                    100,                0.90775,                 1.6192,                0.73671,                 1.0538,                 0.4399,                0.37273,                0.32881,                0.18163,                0.43003,                0.33609,                0.30207,                 0.1645,                 1.8379,                 3.3927,                 2.3663,                 1.7723,              0.0013532,              0.0013532,              0.0013532
                    101,                0.88261,                 1.5335,                0.75324,                 1.0572,                0.71923,                0.38182,                0.43421,                0.21846,                0.60431,                0.34545,                0.37972,                0.19725,                 1.8229,                 3.2571,                 2.0939,                 1.7554,              0.0013466,              0.0013466,              0.0013466
                    102,                0.88293,                 1.4661,                0.71969,                 1.0516,                0.67308,                0.44545,                0.47795,                0.24443,                 0.5937,                0.39091,                0.41161,                0.20808,                 1.7493,                  3.239,                  1.918,                 1.6814,                0.00134,                0.00134,                0.00134
                    103,                0.94334,                 1.6039,                0.76722,                 1.0896,                0.49996,                0.46356,                0.45327,                0.24516,                0.47393,                0.39091,                0.38942,                0.19691,                 1.7214,                 3.3236,                 2.0751,                  1.629,              0.0013334,              0.0013334,              0.0013334
                    104,                0.91735,                 1.6145,                0.77951,                 1.0866,                0.42531,                    0.5,                0.41461,                0.20673,                0.39875,                0.44616,                0.35658,                0.17526,                 1.7258,                 3.5461,                 2.1932,                 1.6827,              0.0013268,              0.0013268,              0.0013268
                    105,                0.92757,                  1.508,                 0.7491,                 1.0869,                0.56383,                0.38182,                0.38903,                0.19285,                0.52306,                0.35455,                 0.3407,                0.16339,                 1.7515,                 3.6038,                 2.2797,                 1.6315,              0.0013202,              0.0013202,              0.0013202
                    106,                0.91683,                 1.5687,                0.75456,                 1.0865,                0.65384,                0.38182,                0.41159,                0.19854,                0.59909,                0.32727,                0.34629,                0.16965,                 1.7967,                 3.5968,                 2.1235,                 1.6863,              0.0013136,              0.0013136,              0.0013136
                    107,                0.91852,                  1.541,                0.74729,                 1.0845,                0.53285,                0.47273,                0.43708,                 0.2183,                0.69326,                0.35455,                0.37975,                0.19215,                 1.7276,                 3.4996,                 2.0114,                 1.6819,               0.001307,               0.001307,               0.001307
                    108,                0.94273,                 1.5324,                0.77199,                 1.0689,                0.46878,                0.45455,                0.40195,                0.19443,                0.66536,                0.31818,                0.35884,                0.18348,                 1.7304,                 3.7211,                 2.0812,                  1.659,              0.0013004,              0.0013004,              0.0013004
                    109,                0.86739,                 1.4654,                0.72393,                  1.056,                0.55704,                0.40909,                0.43086,                0.22446,                0.62358,                0.36364,                0.39493,                0.20447,                 1.7562,                 3.4178,                 1.8299,                 1.6577,              0.0012938,              0.0012938,              0.0012938
                    110,                0.89572,                 1.4923,                0.71679,                 1.0655,                0.59932,                0.42727,                0.42572,                0.23068,                0.58918,                0.40909,                0.39658,                0.21676,                 1.7549,                  3.206,                 1.8438,                   1.71,              0.0012872,              0.0012872,              0.0012872
                    111,                0.90863,                 1.4661,                0.72279,                 1.0477,                0.59517,                0.44545,                0.40363,                0.23554,                0.56714,                0.42727,                0.38541,                0.21584,                 1.7667,                 3.0569,                 1.9775,                 1.7404,              0.0012806,              0.0012806,              0.0012806
                    112,                0.95191,                  1.537,                0.77991,                 1.0978,                0.65362,                0.39091,                 0.3869,                0.21024,                0.63842,                0.38182,                 0.3864,                0.17424,                 1.8191,                 3.1866,                 1.9885,                 1.7381,               0.001274,               0.001274,               0.001274
                    113,                0.92696,                  1.606,                0.73965,                 1.0995,                0.66212,                0.35633,                0.39477,                0.20411,                0.56913,                0.36364,                0.36614,                0.17323,                 1.7516,                 3.1335,                 2.1006,                 1.6914,              0.0012674,              0.0012674,              0.0012674
                    114,                0.89143,                 1.5032,                0.71794,                 1.0498,                 0.6566,                0.37273,                0.41957,                0.21478,                0.62557,                0.37273,                0.39398,                0.18891,                 1.7853,                  3.148,                 1.8872,                 1.7259,              0.0012608,              0.0012608,              0.0012608
                    115,                0.85642,                 1.4089,                0.69912,                 1.0494,                0.59117,                0.44545,                0.43058,                0.23154,                0.55081,                0.45455,                0.40533,                0.20651,                 1.7364,                 3.4501,                 1.8028,                  1.692,              0.0012542,              0.0012542,              0.0012542
                    116,                0.87078,                 1.3871,                0.67865,                 1.0648,                0.56505,                 0.4488,                0.43358,                0.24138,                0.62971,                0.41818,                0.41706,                0.20954,                 1.7039,                 3.6289,                 1.7056,                 1.6514,              0.0012476,              0.0012476,              0.0012476
                    117,                 0.8841,                 1.6453,                 0.7106,                  1.052,                0.66099,                0.35455,                0.41131,                0.21712,                 0.7151,                0.34545,                0.41026,                0.21148,                 1.7495,                 3.6015,                 1.7735,                 1.7391,               0.001241,               0.001241,               0.001241
                    118,                0.85645,                  1.441,                0.67887,                 1.0454,                0.55142,                0.40909,                0.40232,                0.20457,                0.55517,                0.40909,                0.41506,                 0.2075,                 1.7402,                 3.3771,                 1.8547,                 1.7807,              0.0012344,              0.0012344,              0.0012344
                    119,                0.87766,                 1.3671,                0.69933,                 1.0517,                0.48857,                0.49091,                 0.4074,                0.21604,                0.65775,                    0.4,                 0.4282,                0.20504,                 1.6761,                 3.2037,                 1.9169,                 1.6966,              0.0012278,              0.0012278,              0.0012278
                    120,                0.85974,                 1.4168,                0.71481,                 1.0425,                0.61756,                0.42573,                0.45801,                0.24463,                0.59108,                0.39091,                 0.4199,                0.20722,                 1.7421,                 3.3706,                 2.0559,                 1.6613,              0.0012212,              0.0012212,              0.0012212
                    121,                  0.891,                 1.4465,                0.67513,                 1.0572,                0.56091,                0.45455,                0.46561,                0.24656,                 0.6889,                0.35455,                0.41134,                0.20379,                 1.7866,                  3.424,                  2.091,                 1.6975,              0.0012146,              0.0012146,              0.0012146
                    122,                0.86323,                 1.3485,                0.66373,                 1.0491,                0.72108,                0.37608,                0.45401,                0.23339,                 0.6801,                0.35455,                0.40444,                0.18698,                 1.7918,                 3.4977,                 2.1651,                  1.685,               0.001208,               0.001208,               0.001208
                    123,                0.89585,                 1.4808,                0.70855,                 1.0709,                0.70123,                0.40909,                0.45378,                0.22507,                0.59192,                0.33636,                0.35969,                0.15889,                 1.7463,                 3.5026,                  2.058,                  1.673,              0.0012014,              0.0012014,              0.0012014
                    124,                0.87018,                 1.3496,                0.67922,                 1.0396,                 0.5831,                0.46364,                 0.4637,                0.22997,                 0.6199,                0.39091,                0.38501,                0.16906,                 1.7534,                 3.3965,                 1.8877,                 1.7083,              0.0011948,              0.0011948,              0.0011948
                    125,                0.81033,                 1.4178,                0.62865,                 1.0115,                0.66932,                0.41818,                0.45174,                0.23421,                0.69797,                0.39917,                0.40565,                0.20096,                 1.7247,                 3.4919,                 1.8108,                 1.6998,              0.0011882,              0.0011882,              0.0011882
                    126,                0.84315,                 1.4109,                 0.6244,                 1.0372,                0.72901,                0.44545,                0.49485,                0.24057,                0.73127,                0.43636,                0.43971,                0.20131,                 1.7269,                 3.5363,                 1.8545,                 1.6405,              0.0011816,              0.0011816,              0.0011816
                    127,                0.86612,                 1.3104,                  0.627,                 1.0521,                0.82208,                0.46206,                0.49459,                0.23811,                 0.7498,                0.42727,                0.43208,                0.18383,                 1.7809,                 3.5046,                 1.7774,                 1.7053,               0.001175,               0.001175,               0.001175
                    128,                0.86585,                 1.3836,                0.64129,                 1.0456,                0.61272,                0.48904,                 0.4692,                0.24576,                0.63554,                0.44545,                0.41755,                0.20075,                 1.7205,                 3.4117,                 1.8818,                 1.6237,              0.0011684,              0.0011684,              0.0011684
                    129,                0.82072,                 1.3403,                0.62171,                 1.0344,                0.68738,                0.47974,                0.46441,                0.23725,                0.60624,                0.43636,                0.40769,                0.20554,                 1.7347,                 3.2993,                 1.8913,                  1.735,              0.0011618,              0.0011618,              0.0011618
                    130,                0.85872,                 1.4706,                0.66965,                 1.0273,                0.60289,                0.47273,                0.44304,                0.23222,                0.56608,                0.44545,                0.41467,                0.20907,                 1.7518,                 3.2291,                 1.9422,                 1.7514,              0.0011552,              0.0011552,              0.0011552
